X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,X49,Y49,Power1,Power2,Power3,Power4,Power5,Power6,Power7,Power8,Power9,Power10,Power11,Power12,Power13,Power14,Power15,Power16,Power17,Power18,Power19,Power20,Power21,Power22,Power23,Power24,Power25,Power26,Power27,Power28,Power29,Power30,Power31,Power32,Power33,Power34,Power35,Power36,Power37,Power38,Power39,Power40,Power41,Power42,Power43,Power44,Power45,Power46,Power47,Power48,Power49,qW,Total_Power
198,0,197.6,72.19,193.53,147.9,149,198,798,0,797.6,72.19,793.53,147.9,749,198,998,0,997.6,72.19,993.53,147.9,949,198,198,200,197.6,272.19,193.53,347.9,149,398,198,400,197.6,472.19,193.53,547.9,149,598,398,400,397.6,472.19,393.53,547.9,349,598,998,400,997.6,472.19,993.53,547.9,949,598,398,600,397.6,672.19,393.53,747.9,349,798,598,600,597.6,672.19,593.53,747.9,549,798,198,800,197.6,872.19,193.53,947.9,149,998,598,800,597.6,872.19,593.53,947.9,549,998,998,800,997.6,872.19,993.53,947.9,949,998,0,1000,98458.11,91158.05,90245.48,76506,100489.56,90623.6,88280.97,85219.56,107480.62,101679.43,98310.06,89789.47,82550.73,80551.17,83702.19,70776.67,75160.94,71179.59,70300.2,66986.83,87281.09,81127.03,77214.28,61699.64,98431.81,95914.83,94747.71,88090.83,70309.89,66522.44,66447.88,63161.03,84757.8,79950.86,79072.86,62252.37,68112.7,68521.5,72465.69,73998.87,74391.79,72405.12,74331.54,70577.4,95331.1,90728.57,88102.24,81110.17,74290.63,0.77,3980798.91
1,1,1,51,1,101,1,151,401,1,401,51,401,101,401,151,798,0,797.07,78.66,793.48,150,749,198,248,201,298,250,348,300,398,350,998,200,997.07,278.66,993.48,350,949,398,598,400,597.07,478.66,593.48,550,549,598,998,400,997.07,478.66,993.48,550,949,598,40,760,80,720,120,680,160,640,1,801,1,870,1,940,50,998,401,801,401,870,401,940,450,998,798,800,797.07,878.66,793.48,950,749,998,998,800,997.07,878.66,993.48,950,949,998,0,1000,95244.22,83571.77,78889.59,74343,99590.33,91133.86,85548.55,81116.61,107155.8,102987.28,97247.51,85865.38,77029.25,75627.59,73745.07,74023.78,102932.66,97408.23,94700.93,77588.66,81638.21,77873.33,77990.02,74773.59,90040.94,91891.38,91543.21,83620.29,73006.42,73394.2,75047.46,80374.68,72373.8,72494.87,70851.06,69018.05,79483.89,74263.03,70410.95,69317.7,86990.54,81848.99,79484.59,74250.89,94813.78,92079.46,88578.23,80075.84,67581.93,0.78,4051113.71
598,0,596.97,69.41,592.69,143.8,549,198,798,0,796.97,69.41,792.69,143.8,749,198,998,0,996.97,69.41,992.69,143.8,949,198,598,200,596.97,269.41,592.69,343.8,549,398,398,400,396.97,469.41,392.69,543.8,349,598,598,400,596.97,469.41,592.69,543.8,549,598,998,600,996.97,669.41,992.69,743.8,949,798,198,800,196.97,869.41,192.69,943.8,149,998,398,800,396.97,869.41,392.69,943.8,349,998,598,800,596.97,869.41,592.69,943.8,549,998,798,800,796.97,869.41,792.69,943.8,749,998,998,800,996.97,869.41,992.69,943.8,949,998,0,1000,94691.88,84049.09,81200.43,73227.35,100162.35,89267.62,84150.83,79953.64,108014.08,101519.46,97779.43,89192.01,75845.68,79865.52,91371.94,78532.15,79486.81,75580.93,75965.68,74627.9,86127.67,86381.37,85835.2,78224.23,96015.07,92327.03,92057.77,72936.97,76712.7,68584.52,68438.21,70177.33,76980.86,68526.88,66625.89,65475.77,76186.11,68317.82,66079.68,64058.16,75762.28,71602.17,71383.63,68088.57,87944.24,86434.7,85890.42,78238.19,72835.82,0.76,3938734.04
198,0,196.79,73.43,193.7,150,149,198,998,0,996.79,73.43,993.7,150,949,198,198,200,196.79,273.43,193.7,350,149,398,598,200,596.79,273.43,593.7,350,549,398,798,200,796.79,273.43,793.7,350,749,398,398,400,396.79,473.43,393.7,550,349,598,998,400,996.79,473.43,993.7,550,949,598,198,600,196.79,673.43,193.7,750,149,798,398,600,396.79,673.43,393.7,750,349,798,398,800,396.79,873.43,393.7,950,349,998,598,800,596.79,873.43,593.7,950,549,998,798,800,796.79,873.43,793.7,950,749,998,0,1000,100647.39,92766.49,88672.19,74506.67,107281.26,103087.87,101945.51,95195.44,78154.85,75296.57,76314.12,72881.8,90994.77,81717.02,76662.27,72568.97,95093.88,91557.23,90083.21,79548.14,73949.6,73072.4,78805.94,68607.14,98097.81,92864.54,90334.42,82801.89,73080.68,70513.35,68049.94,65769.18,75548,76127.31,75399.94,59234.82,67239.26,63663.02,66136.37,65923.48,80638.7,73128.89,69501.99,65114.67,90346.39,88452.49,85544.77,75756.99,77066.4,0.76,3935746.01
1,1,1,51,1,101,1,151,401,1,401,70,401,140,450,198,798,0,797.46,75.21,797.18,150,682.51,198,998,0,997.46,75.21,997.18,150,882.51,198,1,201,1,270,1,340,50,398,398,400,397.46,475.21,397.18,550,282.51,598,998,400,997.46,475.21,997.18,550,882.51,598,448,601,498,650,548,700,598,750,198,800,197.46,875.21,197.18,950,82.51,998,598,800,597.46,875.21,597.18,950,482.51,998,798,800,797.46,875.21,797.18,950,682.51,998,998,800,997.46,875.21,997.18,950,882.51,998,0,1010,96035.63,84317.91,80778.52,79864.5,97592.69,89721.16,83959.24,80714.03,99999.46,92190.93,85714.47,84071.08,107436.35,101682.1,98500.69,88019.8,78325.74,79412.01,77840.05,77662.56,86262.47,84292.72,79337.09,71011.97,96809.46,94822.57,93613.99,85896.71,77342.27,76682.95,75753.54,78218.49,74110.87,70948.76,71008.37,74417.46,71514.11,71240.02,67849.63,68195.77,84881.3,78021.22,71826.49,70002.44,95623.5,91211.87,87652.25,76742.4,72938.99,0.78,4062068.63
1,0,1,51,101,1,1,151,401,1,401,70,401,140,450,198,798,0,796.79,72.92,742.57,98.91,749,198,998,0,996.79,72.92,1000,148.91,949,198,0,201,1,270,1,340,50,448,798,200,796.79,272.92,792.57,348.91,749,398,448,400,396.79,472.92,392.57,548.91,349,598,1,601,1,670,1,740,50,798,848,601,898,550,1000,700,998,750,248,800,196.79,872.92,192.57,948.91,149,998,598,800,596.79,872.92,592.57,948.91,549,998,998,800,996.79,872.92,992.57,948.91,949,998,0,1000,88497.79,78038.77,92268.11,81728.04,96781.46,87249.47,82924.96,77677.54,100343.18,91224.76,82797.1,78079.59,107509.06,102562.94,97882.58,88881.79,76099.21,77603.69,78337.44,76021.1,82493.99,84401.24,90308.89,85847.23,80782.84,79850.22,79266.89,74268.89,78766.27,75689.62,74489.65,70560.28,84184.09,93296.69,93418.79,88786.64,76775.87,71158.16,73024.29,72809.84,80978.6,77843.54,77611.41,71952.17,88023.67,89689.45,88992.1,80570.92,73873.65,0.79,4082016.33
198,0,197.07,78.42,193.11,147.49,149,198,598,0,597.07,78.42,593.11,147.49,549,198,798,0,797.07,78.42,793.11,147.49,749,198,998,0,997.07,78.42,993.11,147.49,949,198,998,200,997.07,278.42,993.11,347.49,949,398,598,400,597.07,478.42,593.11,547.49,549,598,998,400,997.07,478.42,993.11,547.49,949,598,198,600,197.07,678.42,193.11,747.49,149,798,598,600,597.07,678.42,593.11,747.49,549,798,598,800,597.07,878.42,593.11,947.49,549,998,798,800,797.07,878.42,793.11,947.49,749,998,998,800,997.07,878.42,993.11,947.49,949,998,0,1000,93195.07,84565.43,80166.35,76444.76,95110.96,83784.81,77247.54,73665.44,100284.9,89320.32,81213.23,74199.26,107231.29,102288.21,98324.58,78016.22,91404.72,90177.01,90832.67,73469.71,77711.72,77728.33,79071.71,70253.39,86558.95,88804.05,89508.68,83176.49,76489.63,71863.12,69646.09,69140.72,75690,78636.84,79426.11,64429.1,70243.07,65971.6,66109.53,67384.4,82311.56,75428.06,71074.13,66228.95,92710.54,89935.56,86274.62,77768.99,80301.26,0.77,3970819.67
0,141.29,157.31,0,284.86,0,488.59,78.71,496.66,0,779.4,26.75,990,0,0,0,17.78,188.21,323.06,258.87,521.41,233.1,546.96,178.36,880.34,1.98,990,259.46,0,245.68,259.5,108.7,0,391.8,201.06,398.6,660.14,338.01,943.9,151.28,912.39,379.82,80.57,492.78,442.52,337.56,409.64,442.66,535.58,710.74,611.67,535.35,804.4,491.84,990,554.68,96.4,580.76,96.11,686.02,258.71,653.62,474.23,659.37,871.91,626.32,754.28,705.71,990,868.76,141.41,990,191.38,853.64,189.36,747.38,539.66,941.06,973.84,504.89,782.85,766.64,907.13,823.52,0,990,231.52,990,315.81,990,440.28,861.85,786.29,990,640.68,930.75,990,944.81,82765.64,92191.13,95036.67,92935.21,98993.94,94897.14,106250.53,89635.74,75064.89,79132.35,84757.24,91612.98,101211.57,98301.31,74285.51,83544.26,77815.94,77541.24,86501.27,100580.98,96620.76,73857.99,81514.84,77029.22,72209.97,78601.07,85089.58,90200.08,72171.86,71115.59,72491.83,74322.04,84990.1,84917.12,90986.31,70134.97,73153.25,68923.86,69366.91,94379.73,80713.8,85440.13,73059.49,70089.39,72519.73,71271.08,78889.66,75662.6,87726.85,0.78,4060505.33
1,0,1,51,1,101,1,151,298,0,298,50,343,126,398,150,798,0,939,1,830,135,602.78,98,201,201,201,251,201,301,201,351,1000,100,1000,275.98,994,378,802.78,398,201,401,201,451,201,501,212,561,798,300,797.07,475.98,842.74,600,702.78,648,40,760,80,720,120,680,160,590,1,801,1,870,1,940,50,1000,648,750,623,854,492.74,850,502.78,998,798,800,797.07,875.98,842.74,1000,702.78,998,998,800,997.07,875.98,1000,1000,952.78,1000,0,1000,94053.71,82409.08,79523.82,74758.68,100200.77,88248.61,81893.3,84687.74,99870.89,107196.57,96910.65,94600,79594.87,75797.98,76057.54,75894.64,101494.64,99810.76,95762.24,87619.82,77961.68,79703,79552.92,79127.43,91784.42,88776.03,91842.14,87310.4,74000.86,74608.58,81124.51,72656.8,72992.9,77878.35,74214.8,70582.28,83111.61,75669.07,72578.48,73608.85,87531.86,80853.91,74704.2,72884.35,95010.14,91544.88,88291.04,75303.41,69021.85,0.79,4090743.3
398,0,397.46,75.19,392.94,150,287.64,198,798,0,797.46,75.19,792.94,150,687.64,198,198,200,197.46,275.19,192.94,350,87.64,398,998,200,997.46,275.19,992.94,350,887.64,398,398,400,397.46,475.19,392.94,550,287.64,598,998,400,997.46,475.19,992.94,550,887.64,598,198,600,197.46,675.19,192.94,750,87.64,798,798,600,797.46,675.19,792.94,750,687.64,798,198,800,197.46,875.19,192.94,950,87.64,998,398,800,397.46,875.19,392.94,950,287.64,998,598,800,597.46,875.19,592.94,950,487.64,998,998,800,997.46,875.19,992.94,950,887.64,998,0,1000,100190.04,92354.25,87991.68,84024.51,108296.17,102818.43,97750.12,88149.71,82715.12,80290.09,80399.83,77543.55,102974.55,97464.81,96212.48,81704.92,82352.02,78165.51,77451.28,73043.49,92051.53,92613.45,92372.8,85218.76,72659.33,72419.51,72152.49,66447.98,81081.02,84471.41,85592.35,76192.34,66255.72,64849.67,64151.49,69326.27,70137.49,66010.69,63981.35,63083,72591.03,73604.59,75071.54,68772.43,92455.68,89777.41,87359.16,78119.19,70411.02,0.77,3981123.28
1,1,1,51,1,101,1,151,598,0,596.79,73.83,592.61,150,477.19,198,998,0,996.79,73.83,992.61,150,877.19,198,1,201,1,270,1,340,50,398,798,200,796.79,273.83,792.61,350,677.19,398,401,401,401,470,401,540,450,598,998,400,996.79,473.83,992.61,550,877.19,598,398,600,396.79,673.83,392.61,750,277.19,798,998,600,996.79,673.83,992.61,750,877.19,798,198,800,196.79,873.83,192.61,950,77.19,998,398,800,396.79,873.83,392.61,950,277.19,998,998,800,996.79,873.83,992.61,950,877.19,998,0,1000,97724.73,86834.84,83011.64,81734.92,101625.98,93817.94,88948.34,83247.61,107295.95,103359.46,101305.26,93188.4,78831.56,79291.77,76152.76,74607.27,88155.92,88565.11,89220.2,82064.69,80614.98,75953.1,74052.69,72043.98,96383.11,92754.63,91895.4,77218.88,66101.43,70967.43,76627.37,70108.7,88819.87,89046.04,90032.32,73963.72,70543.17,69724.71,70277.69,72808.47,73623.18,74063.18,75369.02,70896.78,87322.75,86885.05,87155.99,78393.5,71345.7,0.78,4053977.19
1,1,1,51,1,101,1,151,601,1,701,0,601,101,601,151,998,0,1000,79.83,992.97,150,689.53,298,101,101,1,270,1,340,0,498,998,200,997.18,279.83,992.97,350,889.53,398,601,401,601,451,601,501,651,551,1,601,1,670,1,740,50,698,351,501,401,670,401,790,350,898,998,600,997.18,679.83,992.97,750,839.53,798,0,801,1,870,1,940,100,1000,651,998,550,998,700,898,750,998,998,800,997.18,879.83,992.97,950,889.53,998,0,1000,96207.08,84532.03,78878.44,76404.36,94185.88,99580.52,90905.08,85560,107431.05,103272.47,100251.17,86015.12,86851.15,82409.39,81240.36,81059.11,96297.06,96442.14,94845.27,87843.23,86759.89,84436.43,78724.49,81026.7,78460.07,71571.17,70546.43,73007.48,77860.94,81241.3,77721.93,73474.52,95272.04,93436.43,92436.37,77445.96,72877.22,74202.91,72857.21,71084.26,72454.91,74568.16,77997.08,74154.58,89272.62,89877.37,87790.83,80610.05,69248.2,0.79,4110398.43
198,0,197.07,76.09,192.74,156.23,105.94,198,398,0,397.07,76.09,392.74,156.23,305.94,198,998,0,997.07,76.09,992.74,156.23,905.94,198,198,200,197.07,276.09,192.74,356.23,105.94,398,998,200,997.07,276.09,992.74,356.23,905.94,398,198,400,197.07,476.09,192.74,556.23,105.94,598,598,400,597.07,476.09,592.74,556.23,505.94,598,798,400,797.07,476.09,792.74,556.23,705.94,598,198,600,197.07,676.09,192.74,756.23,105.94,798,598,800,597.07,876.09,592.74,956.23,505.94,998,798,800,797.07,876.09,792.74,956.23,705.94,998,998,800,997.07,876.09,992.74,956.23,905.94,998,0,1000,95591.46,85578.34,80630.98,73713.22,101376.63,93196.68,88437.85,78967.42,106828.89,102310.79,102122.98,86879.1,72028.27,73400.36,76681.08,70702.73,94829.45,95131.16,95274.17,88570.37,72134.47,71640.6,73870.54,67478.62,80438.21,75815.33,73319.01,70934.54,84637.24,85563.38,88845.71,80555.09,69023,70679.7,73671.74,72287.23,77067.1,69834.62,67294.72,65993.06,83347.96,77166.28,72086.23,66791.78,92797.32,88971.09,86805.63,75903.02,83373.29,0.77,3980578.45
198,0,196.79,74.47,193.7,150,81.84,198,398,0,396.79,74.47,393.7,150,281.84,198,998,0,996.79,74.47,993.7,150,881.84,198,398,400,396.79,474.47,393.7,550,281.84,598,798,400,796.79,474.47,793.7,550,681.84,598,198,600,196.79,674.47,193.7,750,81.84,798,598,600,596.79,674.47,593.7,750,481.84,798,998,600,996.79,674.47,993.7,750,881.84,798,198,800,196.79,874.47,193.7,950,81.84,998,398,800,396.79,874.47,393.7,950,281.84,998,598,800,596.79,874.47,593.7,950,481.84,998,998,800,996.79,874.47,993.7,950,881.84,998,0,1000,96389.75,87816.35,82730.31,81685.03,102685.88,95222.97,91292.22,83464.21,107089.76,102684.96,101577.74,95054.21,87890.26,84036.69,79603.94,73427.87,100147.5,95746.97,90454.47,82085.29,73515.14,70125.37,69902.98,65902.94,76630.79,75367.28,77372.76,65906.05,98081.09,93192.75,91935.52,74489.11,63637.95,62085.63,62854.54,68202.09,65919.22,63007.37,62233.05,63012.14,72134.48,71641.08,71320.97,66508.03,87646.98,87756.96,86565.96,77936.71,69381.48,0.76,3955352.78
